Epochs,,Test,,,,,,,,,,,,
,Train,s1d1,s1d2,s1d3,s2d1,s2d4,s2d5,s3d1,s3d6,s3d7,s4d1,s4d8,s4d9,Test dataset
2000,s1d1,0.0898,0.186,0.207,1.091,0.802,0.35,0.444,0.423,0.282,0.377,0.33,1.141,0.817
2000,s1d2,0.202,0.08,0.207,1.068,0.8,0.35,0.423,0.42,0.28,0.357,0.321,1.143,0.815
2000,s1d3,0.203,0.191,0.103,1.047,0.771,0.345,0.408,0.404,0.275,0.347,0.301,1.092,0.779
2000,s2d1,1.358,1.28,1.291,0.273,0.828,0.808,0.405,0.822,0.926,0.995,1.133,0.643,0.887
1500,s2d4,0.891,0.791,0.752,0.695,0.13,0.481,0.286,0.455,0.601,0.544,0.69,0.641,0.621
2000,s2d5,0.53,0.433,0.441,0.865,0.579,0.182,0.373,0.372,0.319,0.294,0.362,0.901,0.655
2000,s3d1,0.623,0.64,0.588,0.676,0.469,0.425,0.166,0.424,0.507,0.376,0.529,0.553,0.495
2000,s3d6,0.434,0.412,0.388,0.84,0.586,0.347,0.283,0.203,0.342,0.272,0.34,0.847,0.615
1500,s3d7,0.227,0.23,0.219,1.012,0.735,0.312,0.365,0.358,0.208,0.307,0.28,1.035,0.734